febA	chA_1	chA_2	febB	chB_1	chB_2	x	y
-1	30	31	-11	30	31	0	0
-1	28	29	-11	28	29	51.3875	0
-1	26	27	-11	26	27	103.1875	0
-1	24	25	-11	24	25	154.575	0
-1	22	23	-11	22	23	206.375	0
-1	20	21	-11	20	21	257.7625	0
-1	18	19	-11	18	19	309.5625	0
-1	16	17	-11	16	17	360.95	0
-1	14	15	-11	14	15	412.75	0
-1	12	13	-11	12	13	464.1375	0
-1	10	11	-11	10	11	515.9375	0
-1	8	9	-11	8	9	567.325	0
-1	6	7	-11	6	7	619.125	0
-1	4	5	-11	4	5	670.5125	0
-1	2	3	-11	2	3	722.3125	0
-1	0	1	-11	0	1	773.7	0
-1	62	63	-11	62	63	42	29.325
-1	60	61	-11	60	61	93.3875	29.325
-1	58	59	-11	58	59	145.1875	29.325
-1	56	57	-11	56	57	196.575	29.325
-1	54	55	-11	54	55	248.375	29.325
-1	52	53	-11	52	53	299.7625	29.325
-1	50	51	-11	50	51	351.5625	29.325
-1	48	49	-11	48	49	402.95	29.325
-1	46	47	-11	46	47	454.75	29.325
-1	44	45	-11	44	45	506.1375	29.325
-1	42	43	-11	42	43	557.9375	29.325
-1	40	41	-11	40	41	609.325	29.325
-1	38	39	-11	38	39	661.125	29.325
-1	36	37	-11	36	37	712.5125	29.325
-1	34	35	-11	34	35	764.3125	29.325
-1	32	33	-11	32	33	815.7	29.325
-2	30	31	-12	30	31	84	58.65
-2	28	29	-12	28	29	135.3875	58.65
-2	26	27	-12	26	27	187.1875	58.65
-2	24	25	-12	24	25	238.575	58.65
-2	22	23	-12	22	23	290.375	58.65
-2	20	21	-12	20	21	341.7625	58.65
-2	18	19	-12	18	19	393.5625	58.65
-2	16	17	-12	16	17	444.95	58.65
-2	14	15	-12	14	15	496.75	58.65
-2	12	13	-12	12	13	548.1375	58.65
-2	10	11	-12	10	11	599.9375	58.65
-2	8	9	-12	8	9	651.325	58.65
-2	6	7	-12	6	7	703.125	58.65
-2	4	5	-12	4	5	754.5125	58.65
-2	2	3	-12	2	3	806.3125	58.65
-2	0	1	-12	0	1	857.7	58.65
-2	62	63	-12	62	63	126	87.975
-2	60	61	-12	60	61	177.3875	87.975
-2	58	59	-12	58	59	229.1875	87.975
-2	56	57	-12	56	57	280.575	87.975
-2	54	55	-12	54	55	332.375	87.975
-2	52	53	-12	52	53	383.7625	87.975
-2	50	51	-12	50	51	435.5625	87.975
-2	48	49	-12	48	49	486.95	87.975
-2	46	47	-12	46	47	538.75	87.975
-2	44	45	-12	44	45	590.1375	87.975
-2	42	43	-12	42	43	641.9375	87.975
-2	40	41	-12	40	41	693.325	87.975
-2	38	39	-12	38	39	745.125	87.975
-2	36	37	-12	36	37	796.5125	87.975
-2	34	35	-12	34	35	848.3125	87.975
-2	32	33	-12	32	33	899.7	87.975
4	30	31	2	30	31	828	0
4	28	29	2	28	29	879.3875	0
4	26	27	2	26	27	931.1875	0
4	24	25	2	24	25	982.575	0
4	22	23	2	22	23	1034.375	0
4	20	21	2	20	21	1085.7625	0
4	18	19	2	18	19	1137.5625	0
4	16	17	2	16	17	1188.95	0
4	14	15	2	14	15	1240.75	0
4	12	13	2	12	13	1292.1375	0
4	10	11	2	10	11	1343.9375	0
4	8	9	2	8	9	1395.325	0
4	6	7	2	6	7	1447.125	0
4	4	5	2	4	5	1498.5125	0
4	2	3	2	2	3	1550.3125	0
4	0	1	2	0	1	1601.7	0
4	62	63	2	62	63	870	29.325
4	60	61	2	60	61	921.3875	29.325
4	58	59	2	58	59	973.1875	29.325
4	56	57	2	56	57	1024.575	29.325
4	54	55	2	54	55	1076.375	29.325
4	52	53	2	52	53	1127.7625	29.325
4	50	51	2	50	51	1179.5625	29.325
4	48	49	2	48	49	1230.95	29.325
4	46	47	2	46	47	1282.75	29.325
4	44	45	2	44	45	1334.1375	29.325
4	42	43	2	42	43	1385.9375	29.325
4	40	41	2	40	41	1437.325	29.325
4	38	39	2	38	39	1489.125	29.325
4	36	37	2	36	37	1540.5125	29.325
4	34	35	2	34	35	1592.3125	29.325
4	32	33	2	32	33	1643.7	29.325
5	30	31	3	30	31	912	58.65
5	28	29	3	28	29	963.3875	58.65
5	26	27	3	26	27	1015.1875	58.65
5	24	25	3	24	25	1066.575	58.65
5	22	23	3	22	23	1118.375	58.65
5	20	21	3	20	21	1169.7625	58.65
5	18	19	3	18	19	1221.5625	58.65
5	16	17	3	16	17	1272.95	58.65
5	14	15	3	14	15	1324.75	58.65
5	12	13	3	12	13	1376.1375	58.65
5	10	11	3	10	11	1427.9375	58.65
5	8	9	3	8	9	1479.325	58.65
5	6	7	3	6	7	1531.125	58.65
5	4	5	3	4	5	1582.5125	58.65
5	2	3	3	2	3	1634.3125	58.65
5	0	1	3	0	1	1685.7	58.65
5	62	63	3	62	63	954	87.975
5	60	61	3	60	61	1005.3875	87.975
5	58	59	3	58	59	1057.1875	87.975
5	56	57	3	56	57	1108.575	87.975
5	54	55	3	54	55	1160.375	87.975
5	52	53	3	52	53	1211.7625	87.975
5	50	51	3	50	51	1263.5625	87.975
5	48	49	3	48	49	1314.95	87.975
5	46	47	3	46	47	1366.75	87.975
5	44	45	3	44	45	1418.1375	87.975
5	42	43	3	42	43	1469.9375	87.975
5	40	41	3	40	41	1521.325	87.975
5	38	39	3	38	39	1573.125	87.975
5	36	37	3	36	37	1624.5125	87.975
5	34	35	3	34	35	1676.3125	87.975
5	32	33	3	32	33	1727.7	87.975
-3	30	31	-13	30	31	1656	0
-3	28	29	-13	28	29	1707.3875	0
-3	26	27	-13	26	27	1759.1875	0
-3	24	25	-13	24	25	1810.575	0
-3	22	23	-13	22	23	1862.375	0
-3	20	21	-13	20	21	1913.7625	0
-3	18	19	-13	18	19	1965.5625	0
-3	16	17	-13	16	17	2016.95	0
-3	14	15	-13	14	15	2068.75	0
-3	12	13	-13	12	13	2120.1375	0
-3	10	11	-13	10	11	2171.9375	0
-3	8	9	-13	8	9	2223.325	0
-3	6	7	-13	6	7	2275.125	0
-3	4	5	-13	4	5	2326.5125	0
-3	2	3	-13	2	3	2378.3125	0
-3	0	1	-13	0	1	2429.7	0
-3	62	63	-13	62	63	1698	29.325
-3	60	61	-13	60	61	1749.3875	29.325
-3	58	59	-13	58	59	1801.1875	29.325
-3	56	57	-13	56	57	1852.575	29.325
-3	54	55	-13	54	55	1904.375	29.325
-3	52	53	-13	52	53	1955.7625	29.325
-3	50	51	-13	50	51	2007.5625	29.325
-3	48	49	-13	48	49	2058.95	29.325
-3	46	47	-13	46	47	2110.75	29.325
-3	44	45	-13	44	45	2162.1375	29.325
-3	42	43	-13	42	43	2213.9375	29.325
-3	40	41	-13	40	41	2265.325	29.325
-3	38	39	-13	38	39	2317.125	29.325
-3	36	37	-13	36	37	2368.5125	29.325
-3	34	35	-13	34	35	2420.3125	29.325
-3	32	33	-13	32	33	2471.7	29.325
-4	30	31	-14	30	31	1740	58.65
-4	28	29	-14	28	29	1791.3875	58.65
-4	26	27	-14	26	27	1843.1875	58.65
-4	24	25	-14	24	25	1894.575	58.65
-4	22	23	-14	22	23	1946.375	58.65
-4	20	21	-14	20	21	1997.7625	58.65
-4	18	19	-14	18	19	2049.5625	58.65
-4	16	17	-14	16	17	2100.95	58.65
-4	14	15	-14	14	15	2152.75	58.65
-4	12	13	-14	12	13	2204.1375	58.65
-4	10	11	-14	10	11	2255.9375	58.65
-4	8	9	-14	8	9	2307.325	58.65
-4	6	7	-14	6	7	2359.125	58.65
-4	4	5	-14	4	5	2410.5125	58.65
-4	2	3	-14	2	3	2462.3125	58.65
-4	0	1	-14	0	1	2513.7	58.65
-4	62	63	-14	62	63	1782	87.975
-4	60	61	-14	60	61	1833.3875	87.975
-4	58	59	-14	58	59	1885.1875	87.975
-4	56	57	-14	56	57	1936.575	87.975
-4	54	55	-14	54	55	1988.375	87.975
-4	52	53	-14	52	53	2039.7625	87.975
-4	50	51	-14	50	51	2091.5625	87.975
-4	48	49	-14	48	49	2142.95	87.975
-4	46	47	-14	46	47	2194.75	87.975
-4	44	45	-14	44	45	2246.1375	87.975
-4	42	43	-14	42	43	2297.9375	87.975
-4	40	41	-14	40	41	2349.325	87.975
-4	38	39	-14	38	39	2401.125	87.975
-4	36	37	-14	36	37	2452.5125	87.975
-4	34	35	-14	34	35	2504.3125	87.975
-4	32	33	-14	32	33	2555.7	87.975
-5	30	31	-15	30	31	2484	0
-5	28	29	-15	28	29	2535.3875	0
-5	26	27	-15	26	27	2587.1875	0
-5	24	25	-15	24	25	2638.575	0
-5	22	23	-15	22	23	2690.375	0
-5	20	21	-15	20	21	2741.7625	0
-5	18	19	-15	18	19	2793.5625	0
-5	16	17	-15	16	17	2844.95	0
-5	14	15	-15	14	15	2896.75	0
-5	12	13	-15	12	13	2948.1375	0
-5	10	11	-15	10	11	2999.9375	0
-5	8	9	-15	8	9	3051.325	0
-5	6	7	-15	6	7	3103.125	0
-5	4	5	-15	4	5	3154.5125	0
-5	2	3	-15	2	3	3206.3125	0
-5	0	1	-15	0	1	3257.7	0
-5	62	63	-15	62	63	2526	29.325
-5	60	61	-15	60	61	2577.3875	29.325
-5	58	59	-15	58	59	2629.1875	29.325
-5	56	57	-15	56	57	2680.575	29.325
-5	54	55	-15	54	55	2732.375	29.325
-5	52	53	-15	52	53	2783.7625	29.325
-5	50	51	-15	50	51	2835.5625	29.325
-5	48	49	-15	48	49	2886.95	29.325
-5	46	47	-15	46	47	2938.75	29.325
-5	44	45	-15	44	45	2990.1375	29.325
-5	42	43	-15	42	43	3041.9375	29.325
-5	40	41	-15	40	41	3093.325	29.325
-5	38	39	-15	38	39	3145.125	29.325
-5	36	37	-15	36	37	3196.5125	29.325
-5	34	35	-15	34	35	3248.3125	29.325
-5	32	33	-15	32	33	3299.7	29.325
-6	30	31	-16	30	31	2568	58.65
-6	28	29	-16	28	29	2619.3875	58.65
-6	26	27	-16	26	27	2671.1875	58.65
-6	24	25	-16	24	25	2722.575	58.65
-6	22	23	-16	22	23	2774.375	58.65
-6	20	21	-16	20	21	2825.7625	58.65
-6	18	19	-16	18	19	2877.5625	58.65
-6	16	17	-16	16	17	2928.95	58.65
-6	14	15	-16	14	15	2980.75	58.65
-6	12	13	-16	12	13	3032.1375	58.65
-6	10	11	-16	10	11	3083.9375	58.65
-6	8	9	-16	8	9	3135.325	58.65
-6	6	7	-16	6	7	3187.125	58.65
